area;acertos;min;max;media;ano
MT;20;434,2;723,8;667,49;2016
MT;21;472,8;731,2;681,98;2016
MT;22;557,8;739,7;695,53;2016
MT;23;548,6;753;708,35;2016
MT;24;632,5;762,8;720,65;2016
MT;25;645,4;770,1;732,42;2016
MT;26;646,8;782,3;743,99;2016
MT;27;687,1;793,3;755,35;2016
MT;28;701,5;800,2;766,67;2016
MT;29;717,5;812,3;777,97;2016
MT;30;723,8;826,3;789,13;2016
MT;31;745,0;833,9;800,25;2016
MT;32;752,4;842,3;811,5;2016
MT;33;770,5;858,1;823,2;2016
MT;34;782,7;868,2;835,38;2016
MT;35;792,9;879,2;847,4;2016
MT;36;813,6;892,8;860,86;2016
MT;37;828,0;907,1;874,85;2016
MT;38;846,4;920;889,12;2016
MT;39;862,0;934,9;904,82;2016
MT;40;866,0;951,3;921,2;2016
MT;41;887,2;964,9;937,79;2016
MT;42;919,9;976,7;954,63;2016
MT;43;945,8;985,3;969,22;2016
MT;44;966,1;990,5;981,51;2016
MT;45;991,5;991,5;991,5;2016
CH;0;334,7;334,7;334,7;2017
CH;1;334,7;376,1;343,9;2017
CH;2;334,7;409;352,53;2017
CH;3;334,7;434,6;361,8;2017
CH;4;334,8;444,6;371,47;2017
CH;5;335,1;462,3;382,05;2017
CH;6;335,9;479,1;393,72;2017
CH;7;336,3;492,5;405,92;2017
CH;8;336,9;508,5;419,37;2017
CH;9;338,2;523,6;433,92;2017
CH;10;340,7;536,4;449,13;2017
CH;11;342,6;553,8;465,5;2017
CH;12;348,0;568,3;482,42;2017
CH;13;357,2;574,8;499,04;2017
CH;14;364,5;600,6;515,1;2017
CH;15;379,7;594,5;530,01;2017
CH;16;394,2;601,9;543,43;2017
CH;17;412,3;609,7;555,32;2017
CH;18;443,7;616,6;565,99;2017
CH;19;473,0;627,8;575,65;2017
CH;20;498,6;631,7;584,6;2017
CH;21;517,0;637,3;592,85;2017
CH;22;530,1;644,6;600,85;2017
CH;23;540,1;652,2;608,6;2017
CH;24;553,2;662,1;616,25;2017
CH;25;555,0;665,8;623,8;2017
CH;26;573,9;678,3;631,49;2017
CH;27;580,5;683;639,27;2017
CH;28;591,8;690,4;647,22;2017
CH;29;596,1;699,4;655,3;2017
CH;30;609,3;710,6;663,6;2017
CH;31;606,1;716,9;672,43;2017
CH;32;624,7;726;681,33;2017
CH;33;634,4;736,3;690,9;2017
CH;34;642,4;752,9;700,89;2017
CH;35;656,2;763,8;711,48;2017
CH;36;661,8;776,1;722,89;2017
CH;37;660,9;788,6;734,92;2017
CH;38;688,5;800,6;748,25;2017
CH;39;696,5;808,8;761,81;2017
CH;40;714,1;827;776,04;2017
CH;41;725,6;845,2;790,35;2017
CH;42;762,4;848;809,63;2017
CH;43;800,5;868,3;830,58;2017
CH;44;834,3;868,3;849,1;2017
CN;0;375,1;375,1;375,1;2017
CN;1;375,1;429,4;383,34;2017
CN;2;375,1;465,7;389,91;2017
CN;3;375,2;481,9;398,5;2017
CN;4;375,3;503,9;407,22;2017
CN;5;375,4;517,2;416,48;2017
CN;6;375,5;531,3;426,8;2017
CN;7;376,1;548,1;437,67;2017
CN;8;376,1;572,3;450,01;2017
CN;9;376,6;733,2;463,51;2017
CN;10;377,1;591,9;478,37;2017
CN;11;378,2;602,3;494,36;2017
CN;12;381,5;612,9;511,09;2017
CN;13;384,7;622,4;528,46;2017
CN;14;384,8;624,9;545,95;2017
CN;15;393,8;634,3;562,46;2017
CN;16;394,9;640,1;577,87;2017
CN;17;403,2;647,1;591,56;2017
CN;18;422,3;652;603,93;2017
CN;19;451,4;659,4;614,68;2017
